Name,Amount of episodes,Duration,Rating
Haikyuu!! To the Top Part 2,TV (12 eps),Oct 2020 - Dec 2020,8.54
Kara no Kyoukai Movie 5: Mujun Rasen,Movie (1 eps),Aug 2008 - Aug 2008,8.54
Kenpuu Denki Berserk,TV (25 eps),Oct 1997 - Apr 1998,8.54
Fate/stay night Movie: Heaven's Feel - II. Lost Butterfly,Movie (1 eps),Jan 2019 - Jan 2019,8.53
Gintama.: Porori-hen,TV (13 eps),Oct 2017 - Dec 2017,8.53
Jujutsu Kaisen 0 Movie,Movie (1 eps),Dec 2021 - Dec 2021,8.53
Shingeki no Kyojin,TV (25 eps),Apr 2013 - Sep 2013,8.53
Yuru Camp△ Season 2,TV (13 eps),Jan 2021 - Apr 2021,8.53
Perfect Blue,Movie (1 eps),Feb 1998 - Feb 1998,8.52
Steins;Gate 0,TV (23 eps),Apr 2018 - Sep 2018,8.52
Gintama Movie 1: Shinyaku Benizakura-hen,Movie (1 eps),Apr 2010 - Apr 2010,8.52
Koukaku Kidoutai: Stand Alone Complex 2nd GIG,TV (26 eps),Jan 2004 - Jan 2005,8.52
Ansatsu Kyoushitsu 2nd Season,TV (25 eps),Jan 2016 - Jul 2016,8.51
Banana Fish,TV (24 eps),Jul 2018 - Dec 2018,8.51
Hotaru no Haka,Movie (1 eps),Apr 1988 - Apr 1988,8.51
Karakai Jouzu no Takagi-san 3,TV (12 eps),Jan 2022 - Mar 2022,8.51
Nana,TV (47 eps),Apr 2006 - Mar 2007,8.51
One Punch Man,TV (12 eps),Oct 2015 - Dec 2015,8.51
Uchuu Kyoudai,TV (99 eps),Apr 2012 - Mar 2014,8.51
Samurai Champloo,TV (26 eps),May 2004 - Mar 2005,8.50
Shingeki no Kyojin Season 2,TV (12 eps),Apr 2017 - Jun 2017,8.50
Tian Guan Ci Fu Special,ONA (1 eps),Feb 2021 - Feb 2021,8.50
Aria the Origination,TV (13 eps),Jan 2008 - Apr 2008,8.50
JoJo no Kimyou na Bouken Part 4: Diamond wa Kudakenai,TV (39 eps),Apr 2016 - Dec 2016,8.50
Rainbow: Nisha Rokubou no Shichinin,TV (26 eps),Apr 2010 - Sep 2010,8.49
Mob Psycho 100,TV (12 eps),Jul 2016 - Sep 2016,8.48
Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV (12 eps),Jan 2021 - Mar 2021,8.48
Chihayafuru 3,TV (24 eps),Oct 2019 - Mar 2020,8.48
Gintama: The Semi-Final,Special (2 eps),Jan 2021 - Jan 2021,8.48
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,Movie (1 eps),Aug 2019 - Aug 2019,8.47
Mo Dao Zu Shi,ONA (15 eps),Jul 2018 - Oct 2018,8.47
Nichijou,TV (26 eps),Apr 2011 - Sep 2011,8.46
Owarimonogatari,TV (12 eps),Oct 2015 - Dec 2015,8.46
Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie (1 eps),Apr 2013 - Apr 2013,8.46
Zoku Owarimonogatari,Movie (6 eps),Nov 2018 - Nov 2018,8.46
Josee to Tora to Sakana-tachi,Movie (1 eps),Dec 2020 - Dec 2020,8.46
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,Movie (1 eps),Oct 2013 - Oct 2013,8.46
Golden Kamuy 3rd Season,TV (12 eps),Oct 2020 - Dec 2020,8.45
Haikyuu!!,TV (25 eps),Apr 2014 - Sep 2014,8.45
Mo Dao Zu Shi: Xian Yun Pian,ONA (8 eps),Aug 2019 - Sep 2019,8.45
Saenai Heroine no Sodatekata Fine,Movie (1 eps),Oct 2019 - Oct 2019,8.45
Vivy: Fluorite Eye's Song,TV (13 eps),Apr 2021 - Jun 2021,8.45
Wu Liuqi Zhi Xuanwu Guo Pian,ONA (10 eps),Jan 2021 - May 2021,8.45
Yuu☆Yuu☆Hakusho,TV (112 eps),Oct 1992 - Jan 1995,8.45
Mushishi Zoku Shou: Odoro no Michi,Special (1 eps),Aug 2014 - Aug 2014,8.44
Saiki Kusuo no Ψ-nan 2,TV (24 eps),Jan 2018 - Jun 2018,8.44
Gintama: Yorinuki Gintama-san on Theater 2D,Movie (2 eps),Aug 2012 - Aug 2012,8.44
JoJo no Kimyou na Bouken Part 3: Stardust Crusaders 2nd Season,TV (24 eps),Jan 2015 - Jun 2015,8.44
Grand Blue,TV (12 eps),Jul 2018 - Sep 2018,8.43
Kono Oto Tomare! Part 2,TV (13 eps),Oct 2019 - Dec 2019,8.43
Koukaku Kidoutai: Stand Alone Complex,TV (26 eps),Oct 2002 - Oct 2003,8.43
Mononoke,TV (12 eps),Jul 2007 - Sep 2007,8.43
Saiki Kusuo no Ψ-nan,TV (120 eps),Jul 2016 - Dec 2016,8.43
Major S5,TV (25 eps),Jan 2009 - Jun 2009,8.42
Natsume Yuujinchou Movie: Utsusemi ni Musubu,Movie (1 eps),Sep 2018 - Sep 2018,8.42
Yoru ni Kakeru,Music (1 eps),Nov 2019 - Nov 2019,8.42
Paripi Koumei,TV (12 eps),Apr 2022 - Jun 2022,8.41
Sayonara no Asa ni Yakusoku no Hana wo Kazarou,Movie (1 eps),Feb 2018 - Feb 2018,8.41
Shingeki no Kyojin: Kuinaki Sentaku,OVA (2 eps),Dec 2014 - Apr 2015,8.41
Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,Movie (1 eps),Sep 2019 - Sep 2019,8.41
Kara no Kyoukai Movie 7: Satsujin Kousatsu (Go),Movie (1 eps),Aug 2009 - Aug 2009,8.41
Kaze ga Tsuyoku Fuiteiru,TV (23 eps),Oct 2018 - Mar 2019,8.41
Chihayafuru 2,TV (25 eps),Jan 2013 - Jun 2013,8.40
